Id,Date,Transaction,Currency,Description
0,2024-10-14T11:54:41,+594.83,USD,Salary
1,2024-07-26T19:57:11,-598.9,USD,Online purchase
2,2024-08-29T19:01:27,+146.08,USD,Restaurant bill
3,2024-10-30T05:55:14,-351.22,USD,Online purchase
4,2024-04-23T12:00:12,-922.25,USD,Restaurant bill
5,2024-12-08T07:39:30,+680.46,USD,Online purchase
6,2024-03-12T11:09:43,+327.94,USD,Rent payment
7,2024-08-19T15:09:31,-519.1,USD,Online purchase
8,2024-06-04T17:19:08,-281.13,USD,Online purchase
9,2024-12-23T09:15:47,+228.49,USD,Restaurant bill
10,2024-11-30T10:31:44,-181.91,USD,Utilities bill
11,2024-02-01T11:47:19,-134.38,USD,School expences
12,2024-11-15T15:32:52,+749.88,USD,Refunds
13,2024-06-08T15:45:24,-310.89,USD,Salary
14,2024-04-27T20:17:58,-213.33,USD,Videogames
15,2024-07-07T11:16:49,+135.57,USD,Online purchase
16,2024-04-20T21:52:14,+102.59,USD,Grocery shopping
17,2024-09-23T14:47:10,-387.02,USD,Salary
18,2024-02-26T03:49:24,-303.14,USD,Grocery shopping
19,2024-04-11T03:57:45,-821.06,USD,Utilities bill
20,2024-01-27T16:46:02,-490.29,USD,Refunds
21,2024-08-22T03:59:49,-815.36,USD,Salary
22,2024-02-15T13:35:51,-878.16,USD,Medical expenses
23,2024-02-17T16:42:36,+109.31,USD,Utilities bill
24,2024-09-26T22:02:15,+810.88,USD,Rent payment
25,2024-09-29T20:36:24,-105.57,USD,Grocery shopping
26,2024-05-05T10:11:26,+871.79,USD,Utilities bill
27,2024-06-07T15:29:12,+863.13,USD,Online purchase
28,2024-06-07T11:14:40,-669.21,USD,Medical expenses
29,2024-03-04T16:55:43,+106.69,USD,Utilities bill
30,2024-04-30T07:05:33,-170.81,USD,School expences
31,2024-06-26T15:29:45,+959.93,USD,Rent payment
32,2024-03-01T07:41:18,+173.24,USD,Utilities bill
33,2024-09-21T03:57:29,-267.76,USD,Restaurant bill
34,2024-12-30T14:33:41,-878.79,USD,Grocery shopping
35,2024-03-26T02:33:24,+134.95,USD,Restaurant bill
36,2024-01-29T11:16:35,-982.24,USD,Online purchase
37,2024-04-20T05:08:55,-6.84,USD,School expences
38,2024-04-18T04:12:25,+766.04,USD,Utilities bill
39,2024-01-28T19:49:06,-530.26,USD,School expences
40,2024-08-04T14:33:40,-931.9,USD,Restaurant bill
41,2024-11-13T02:09:53,+295.69,USD,School expences
42,2024-05-07T06:50:19,+981.63,USD,Restaurant bill
43,2024-09-20T17:46:51,-567.26,USD,Salary
44,2024-06-06T21:44:54,+943.7,USD,Utilities bill
45,2024-05-03T23:36:18,+615.81,USD,Restaurant bill
46,2024-10-30T05:42:33,-240.65,USD,Restaurant bill
47,2024-02-12T13:09:06,-828.26,USD,Grocery shopping
48,2024-05-17T14:13:53,-523.49,USD,Online purchase
49,2024-01-21T16:46:41,+709.86,USD,Online purchase
50,2024-06-27T06:03:02,+594.97,USD,Online purchase
51,2024-08-19T11:19:18,-410.85,USD,Online purchase
52,2024-08-16T10:39:38,+992.07,USD,School expences
53,2024-11-24T22:59:27,-12.46,USD,Restaurant bill
54,2024-09-29T14:25:16,+404.49,USD,Grocery shopping
55,2024-09-06T10:58:34,-523.52,USD,Medical expenses
56,2024-05-22T14:41:27,-490.17,USD,Salary
57,2024-06-06T12:14:19,-944.74,USD,School expences
58,2024-11-28T03:37:51,+49.13,USD,Salary
59,2024-02-16T23:33:01,+5.67,USD,Videogames
60,2024-11-24T06:35:59,+816.56,USD,Salary
61,2024-11-04T14:12:04,+519.54,USD,Restaurant bill
62,2024-06-18T02:50:22,+837.77,USD,Medical expenses
63,2024-06-24T06:10:24,-967.03,USD,Videogames
64,2024-11-03T01:09:40,-728.56,USD,Refunds
65,2024-09-17T12:34:19,+106.02,USD,Medical expenses
66,2024-03-16T03:05:27,+866.94,USD,School expences
67,2024-09-06T19:10:55,-611.66,USD,Salary
68,2024-12-10T09:59:03,-798.46,USD,Medical expenses
69,2024-08-29T01:56:28,-440.59,USD,Utilities bill
70,2024-03-09T05:04:57,-118.61,USD,Grocery shopping
71,2024-08-02T10:39:20,-699.75,USD,Online purchase
72,2024-04-24T09:33:34,+165.72,USD,Online purchase
73,2024-03-27T04:30:29,-202.58,USD,Videogames
74,2024-12-19T16:59:20,-297.77,USD,Online purchase
75,2024-09-05T18:08:06,+739.62,USD,School expences
76,2024-09-07T06:48:58,+276.69,USD,Utilities bill
77,2024-05-24T20:11:13,+406.1,USD,School expences
78,2024-05-02T22:00:05,+204.49,USD,Rent payment
79,2024-03-09T21:56:57,+579.27,USD,School expences
80,2024-06-12T03:26:39,-717.33,USD,Salary
81,2024-09-04T18:55:45,+155.58,USD,School expences
82,2024-07-21T02:28:33,-368.82,USD,Rent payment
83,2024-11-20T16:46:19,-540.87,USD,Utilities bill
84,2024-02-15T19:51:53,-868.09,USD,School expences
85,2024-04-08T08:49:53,+82.85,USD,Utilities bill
86,2024-06-12T19:50:54,-793.28,USD,Online purchase
87,2024-11-11T22:15:24,+361.31,USD,Refunds
88,2024-10-11T03:37:39,-967.18,USD,Online purchase
89,2024-08-29T07:31:23,+106.17,USD,Restaurant bill
90,2024-05-11T22:29:34,+599.63,USD,Salary
91,2024-09-17T08:41:59,-735.21,USD,School expences
92,2024-05-29T01:05:15,+930.65,USD,Grocery shopping
93,2024-10-24T11:04:29,-644.48,USD,Salary
94,2024-01-27T03:49:30,+251.86,USD,Medical expenses
95,2024-03-03T17:40:34,-839.17,USD,Videogames
96,2024-06-12T20:18:35,+240.15,USD,Grocery shopping
97,2024-03-10T09:13:32,+181.73,USD,Salary
98,2024-10-10T17:11:55,-73.71,USD,Online purchase
99,2024-10-16T18:00:52,+692.88,USD,School expences
100,2024-01-05T14:59:05,-804.86,USD,Salary
101,2024-12-29T22:12:58,-104.74,USD,Salary
102,2024-11-27T17:40:18,+294.2,USD,Utilities bill
103,2024-10-17T16:32:38,-572.32,USD,Videogames
104,2024-12-25T21:10:14,-706.41,USD,Refunds
105,2024-10-31T22:41:37,-793.56,USD,Grocery shopping
106,2024-12-23T13:15:56,+654.37,USD,Refunds
107,2024-12-02T21:15:10,+986.87,USD,Grocery shopping
108,2024-03-12T14:16:58,-185.08,USD,Videogames
109,2024-06-30T04:12:48,-743.23,USD,School expences
110,2024-10-21T16:45:29,+729.95,USD,School expences
111,2024-11-13T14:19:39,-70.11,USD,Videogames
112,2024-02-26T02:39:32,+782.75,USD,Grocery shopping
113,2024-01-04T22:02:51,+112.38,USD,School expences
114,2024-03-01T18:45:28,-94.76,USD,Grocery shopping
115,2024-03-18T07:45:23,+469.88,USD,Salary
116,2024-11-19T13:26:34,+250.83,USD,Salary
117,2024-11-01T23:35:13,-843.28,USD,Restaurant bill
118,2024-12-09T17:34:16,-624.49,USD,Grocery shopping
119,2024-01-07T21:44:28,-710.41,USD,Grocery shopping
120,2024-02-22T11:18:32,+922.52,USD,Rent payment
121,2024-08-29T13:58:13,+570.68,USD,Medical expenses
122,2024-10-13T22:36:56,-391.39,USD,Refunds
123,2024-08-27T19:27:09,-892.56,USD,Utilities bill
124,2024-07-26T05:59:51,+481.42,USD,Salary
125,2024-06-28T18:13:40,-13.23,USD,Utilities bill
126,2024-02-04T18:36:25,+257.13,USD,Online purchase
127,2024-03-08T14:52:04,+324.75,USD,Refunds
128,2024-10-06T04:06:14,+362.8,USD,Grocery shopping
129,2024-11-25T09:07:31,-400.88,USD,Refunds
130,2024-05-05T16:55:56,-820.85,USD,Videogames
131,2024-01-03T06:50:18,+466.03,USD,School expences
132,2024-04-20T17:47:54,-139.2,USD,Salary
133,2024-02-02T12:31:46,-926.51,USD,Medical expenses
134,2024-08-07T15:28:50,+269.97,USD,Utilities bill
135,2024-01-01T22:14:58,-392.98,USD,Restaurant bill
136,2024-02-12T01:56:18,+891.31,USD,Salary
137,2024-10-14T17:45:14,+296.5,USD,School expences
138,2024-01-02T01:08:40,-939.89,USD,Rent payment
139,2024-06-30T00:08:05,-836.03,USD,Medical expenses
140,2024-05-21T21:52:34,+520.58,USD,School expences
141,2024-12-30T17:36:49,+403.66,USD,Restaurant bill
142,2024-01-08T05:46:35,-120.7,USD,Grocery shopping
143,2024-05-01T08:11:01,+251.96,USD,Grocery shopping
144,2024-05-09T07:51:43,+189.32,USD,Restaurant bill
145,2024-09-12T16:49:11,+392.29,USD,School expences
146,2024-02-20T13:27:27,-831.24,USD,Rent payment
147,2024-03-12T23:10:28,+925.21,USD,Restaurant bill
148,2024-07-07T09:12:30,-905.28,USD,Grocery shopping
149,2024-10-11T01:53:03,+565.76,USD,Online purchase
150,2024-12-21T06:16:38,-856.95,USD,Rent payment
151,2024-03-10T09:24:17,+547.71,USD,Refunds
152,2024-09-08T00:33:03,-146.13,USD,Videogames
153,2024-09-21T06:13:24,+699.77,USD,School expences
154,2024-05-25T14:29:07,+419.36,USD,Medical expenses
155,2024-08-13T10:56:01,+699.98,USD,Videogames
156,2024-05-24T17:07:58,-54.94,USD,Salary
157,2024-07-30T22:34:41,+411.42,USD,Restaurant bill
158,2024-06-02T03:12:24,-903.55,USD,Grocery shopping
159,2024-04-11T21:09:49,+549.77,USD,Rent payment
160,2024-07-11T06:05:19,-327.86,USD,Restaurant bill
161,2024-08-20T22:42:30,-63.16,USD,School expences
162,2024-04-21T15:36:48,+752.69,USD,Rent payment
163,2024-12-06T17:16:12,-745.78,USD,School expences
164,2024-11-03T11:55:17,+246.0,USD,School expences
165,2024-05-23T12:38:03,-379.8,USD,Medical expenses
166,2024-12-04T06:39:02,-493.79,USD,Salary
167,2024-03-28T15:28:27,-965.74,USD,Medical expenses
168,2024-06-16T00:53:01,+33.83,USD,Videogames
169,2024-07-19T02:26:44,+777.83,USD,Medical expenses
170,2024-12-14T03:16:16,+802.09,USD,Utilities bill
171,2024-11-11T11:31:05,+416.48,USD,Utilities bill
172,2024-12-29T22:28:36,+427.11,USD,Utilities bill
173,2024-03-08T04:15:19,+728.45,USD,Grocery shopping
174,2024-11-11T07:09:46,+125.48,USD,School expences
175,2024-08-02T17:11:53,+136.55,USD,Refunds
176,2024-02-12T19:29:59,-811.7,USD,Grocery shopping
177,2024-12-06T17:12:31,+674.49,USD,Videogames
178,2024-09-10T15:26:19,+423.55,USD,Medical expenses
179,2024-05-09T01:10:24,-626.95,USD,Online purchase
180,2024-06-28T18:25:11,-583.0,USD,Medical expenses
181,2024-11-21T02:09:12,+508.08,USD,Grocery shopping
182,2024-01-12T14:57:37,+481.72,USD,Grocery shopping
183,2024-08-13T11:35:33,-279.74,USD,Utilities bill
184,2024-06-24T22:35:56,+952.7,USD,Salary
185,2024-01-20T01:53:34,+92.98,USD,Salary
186,2024-02-16T04:01:52,+960.96,USD,School expences
187,2024-04-17T09:27:13,-509.34,USD,Videogames
188,2024-10-05T18:19:43,-931.7,USD,Videogames
189,2024-01-29T09:28:14,+625.16,USD,Restaurant bill
190,2024-06-24T11:25:46,+206.35,USD,Rent payment
191,2024-12-15T12:08:08,+787.67,USD,Grocery shopping
192,2024-01-15T09:55:49,+420.3,USD,Videogames
193,2024-09-26T21:30:30,-774.32,USD,Online purchase
194,2024-09-21T01:41:31,+473.19,USD,School expences
195,2024-05-25T06:54:09,-364.75,USD,Grocery shopping
196,2024-04-04T13:33:16,-562.61,USD,Refunds
197,2024-09-23T09:00:04,+377.89,USD,Refunds
198,2024-05-05T04:56:13,+546.18,USD,Grocery shopping
199,2024-07-15T05:29:28,-291.64,USD,Online purchase
200,2024-12-13T10:22:38,+638.96,USD,Grocery shopping
201,2024-10-23T10:02:35,+222.6,USD,Rent payment
202,2024-12-20T22:58:50,+785.55,USD,School expences
203,2024-03-18T01:48:47,+647.88,USD,Refunds
204,2024-06-28T04:51:41,-745.08,USD,Salary
205,2024-07-10T00:35:33,+197.77,USD,Salary
206,2024-08-14T05:54:51,+298.61,USD,Grocery shopping
207,2024-07-18T15:36:22,+531.44,USD,Medical expenses
208,2024-06-09T13:51:59,+597.68,USD,Restaurant bill
209,2024-05-04T10:20:17,+24.14,USD,Restaurant bill
210,2024-07-10T01:21:12,+461.29,USD,Online purchase
211,2024-05-26T14:11:23,-732.23,USD,Online purchase
212,2024-04-21T00:44:43,+426.51,USD,Grocery shopping
213,2024-06-25T08:59:19,+836.29,USD,Refunds
214,2024-08-29T06:59:17,+956.29,USD,Grocery shopping
215,2024-07-12T10:02:38,+551.73,USD,Medical expenses
216,2024-05-30T23:51:41,-440.42,USD,Videogames
217,2024-11-18T19:29:23,-101.99,USD,Rent payment
218,2024-07-11T02:24:44,+729.98,USD,Grocery shopping
219,2024-04-10T12:14:16,+803.39,USD,Grocery shopping
220,2024-12-17T21:18:55,+580.37,USD,Restaurant bill
221,2024-03-18T03:24:46,+556.71,USD,Grocery shopping
222,2024-12-15T11:17:00,-960.03,USD,Grocery shopping
223,2024-11-16T13:28:09,-775.98,USD,School expences
224,2024-02-08T16:08:37,-233.42,USD,Restaurant bill
225,2024-05-15T06:05:31,-926.19,USD,Online purchase
226,2024-10-12T20:09:32,+264.41,USD,Medical expenses
227,2024-06-20T20:56:50,+859.89,USD,Rent payment
228,2024-05-25T21:23:35,-821.95,USD,Salary
229,2024-10-26T13:46:24,-619.89,USD,Salary
230,2024-12-22T14:37:18,-831.82,USD,Medical expenses
231,2024-01-09T20:22:12,-566.07,USD,Grocery shopping
232,2024-09-18T13:07:26,-401.55,USD,Refunds
233,2024-08-28T01:35:25,-815.37,USD,Restaurant bill
234,2024-06-06T10:03:53,-223.12,USD,Restaurant bill
235,2024-10-06T03:45:56,+338.72,USD,School expences
236,2024-12-15T02:03:46,-477.34,USD,Utilities bill
237,2024-03-31T04:03:04,+47.53,USD,Rent payment
238,2024-12-29T06:46:15,-139.58,USD,Refunds
239,2024-02-06T20:32:27,-713.16,USD,Rent payment
240,2024-06-05T17:56:59,+117.3,USD,Utilities bill
241,2024-10-01T02:27:16,-497.52,USD,Rent payment
242,2024-07-21T20:43:19,+461.94,USD,School expences
243,2024-06-09T13:46:42,+517.0,USD,Rent payment
244,2024-03-12T04:44:31,+915.74,USD,Videogames
245,2024-05-22T10:59:11,-385.32,USD,Utilities bill
246,2024-11-23T23:28:22,+390.01,USD,Restaurant bill
247,2024-02-01T11:29:28,+24.36,USD,Online purchase
248,2024-09-22T17:40:36,+5.69,USD,Grocery shopping
249,2024-02-15T09:44:10,+629.93,USD,Rent payment
250,2024-02-29T20:29:57,-905.44,USD,Videogames
251,2024-10-28T23:48:01,+984.53,USD,Salary
252,2024-03-11T13:40:08,-88.63,USD,School expences
253,2024-11-25T13:03:10,-349.53,USD,Rent payment
254,2024-11-10T09:26:11,+653.05,USD,Salary
255,2024-09-05T06:58:29,-419.6,USD,Salary
256,2024-03-14T04:29:24,-668.08,USD,Rent payment
257,2024-06-29T23:14:36,+19.12,USD,Refunds
258,2024-09-12T23:19:15,-904.27,USD,Grocery shopping
259,2024-07-30T10:15:31,+701.58,USD,Salary
260,2024-05-12T12:17:39,+158.11,USD,Online purchase
261,2024-04-19T13:21:29,-580.45,USD,School expences
262,2024-06-19T11:59:57,+899.55,USD,Refunds
263,2024-03-30T17:06:33,+657.08,USD,Medical expenses
264,2024-11-11T10:48:46,+141.0,USD,Rent payment
265,2024-10-17T00:03:25,-47.48,USD,Salary
266,2024-06-17T11:33:48,+440.26,USD,Restaurant bill
267,2024-08-12T08:46:35,-858.92,USD,Videogames
268,2024-05-15T15:50:22,+821.75,USD,Videogames
269,2024-05-27T04:48:52,+871.19,USD,Refunds
270,2024-04-15T00:47:29,-157.28,USD,Rent payment
271,2024-03-11T16:10:59,+10.62,USD,Grocery shopping
272,2024-07-25T18:02:05,+827.87,USD,Online purchase
273,2024-12-13T11:14:42,-794.06,USD,School expences
274,2024-01-06T07:14:23,-253.09,USD,Salary
275,2024-12-17T15:24:08,-322.33,USD,Utilities bill
276,2024-03-03T06:31:13,-235.43,USD,Refunds
277,2024-08-16T12:42:28,+64.85,USD,Online purchase
278,2024-03-02T17:59:30,-227.0,USD,Utilities bill
279,2024-08-13T11:07:27,-578.41,USD,Videogames
280,2024-06-25T02:56:49,+523.92,USD,Videogames
281,2024-11-30T13:22:00,-907.47,USD,Salary
282,2024-11-10T17:07:46,+249.39,USD,Medical expenses
